date,open,high,low,close,volume,change_pct,dataset
2014-02-24,9226.12,9237.05,9208.13,9237.05,,-0.23,MASI
2014-02-25,9221.93,9236.12,9210.93,9217.26,,-0.21,MASI
2014-02-26,9218.48,9232.31,9214.07,9232.31,,0.16,MASI
2014-02-27,9227.18,9276.94,9227.18,9276.94,,0.48,MASI
2014-02-28,9265.91,9442.36,9265.91,9442.36,,1.78,MASI
2014-03-03,9405.73,9465.69,9402.78,9441.76,,-0.01,MASI
2014-03-04,9441.76,9485.96,9441.76,9485.96,,0.47,MASI
2014-03-05,9478.56,9512.92,9460.65,9496.94,,0.12,MASI
2014-03-06,9494.34,9579.0,9469.7,9523.09,,0.28,MASI
2014-03-07,9539.82,9547.84,9521.76,9544.1,,0.22,MASI
2014-03-10,9551.93,9558.66,9504.55,9557.41,,0.14,MASI
2014-03-11,9533.45,9572.7,9513.96,9561.46,,0.04,MASI
2014-03-12,9547.89,9563.78,9517.19,9550.09,,-0.12,MASI
2014-03-13,9535.03,9589.7,9519.96,9588.97,,0.41,MASI
2014-03-14,9545.45,9571.64,9527.35,9571.64,,-0.18,MASI
2014-03-17,9571.92,9593.38,9548.76,9593.38,,0.23,MASI
2014-03-18,9559.0,9581.95,9559.0,9577.86,,-0.16,MASI
2014-03-19,9568.34,9601.92,9560.46,9601.92,,0.25,MASI
2014-03-20,9588.92,9604.65,9570.43,9590.21,,-0.12,MASI
2014-03-21,9548.83,9578.3,9540.52,9576.3,,-0.15,MASI
2014-03-24,9591.03,9594.91,9556.25,9561.77,,-0.15,MASI
2014-03-25,9548.42,9579.02,9537.35,9579.02,,0.18,MASI
2014-03-26,9561.38,9614.77,9550.47,9614.77,,0.37,MASI
2014-03-27,9627.22,9648.36,9590.06,9646.25,,0.33,MASI
2014-03-28,9643.09,9643.09,9565.22,9587.03,,-0.61,MASI
2014-03-31,9557.44,9578.01,9502.89,9519.21,,-0.71,MASI
2014-04-01,9508.48,9567.59,9492.66,9567.59,,0.51,MASI
2014-04-02,9558.31,9558.31,9512.49,9525.93,,-0.44,MASI
2014-04-03,9500.47,9532.59,9500.47,9532.59,,0.07,MASI
2014-04-04,9507.28,9524.58,9496.66,9522.21,,-0.11,MASI
2014-04-07,9519.37,9566.56,9503.35,9563.78,,0.44,MASI
2014-04-08,9575.32,9582.65,9540.15,9563.74,,0.0,MASI
2014-04-09,9559.46,9597.18,9527.26,9595.74,,0.33,MASI
2014-04-10,9565.05,9577.68,9552.16,9567.23,,-0.3,MASI
2014-04-11,9541.79,9600.22,9520.93,9600.22,,0.34,MASI
2014-04-14,9563.11,9575.39,9549.9,9575.39,,-0.26,MASI
2014-04-15,9562.6,9568.96,9515.84,9568.96,,-0.07,MASI
2014-04-16,9528.32,9565.98,9499.91,9565.98,,-0.03,MASI
2014-04-17,9525.84,9528.91,9492.03,9528.85,,-0.39,MASI
2014-04-18,9531.7,9555.07,9505.38,9555.05,,0.27,MASI
2014-04-21,9556.76,9571.15,9543.84,9570.46,,0.16,MASI
2014-04-22,9527.89,9538.39,9503.66,9511.9,,-0.61,MASI
2014-04-23,9508.48,9517.84,9474.38,9517.84,,0.06,MASI
2014-04-24,9509.69,9532.1,9492.55,9525.75,,0.08,MASI
2014-04-25,9513.65,9520.41,9488.01,9515.48,,-0.11,MASI
2014-04-28,9514.57,9514.58,9476.57,9504.39,,-0.12,MASI
2014-04-29,9496.13,9503.63,9459.15,9459.15,,-0.48,MASI
2014-04-30,9474.77,9489.99,9456.49,9471.64,,0.13,MASI
2014-05-02,9458.5,9499.91,9453.91,9484.14,,0.13,MASI
2014-05-05,9503.08,9503.85,9476.15,9502.32,,0.19,MASI
2014-05-06,9456.48,9469.38,9440.69,9468.87,,-0.35,MASI
2014-05-07,9437.67,9458.62,9429.01,9458.23,,-0.11,MASI
2014-05-08,9427.35,9430.12,9389.47,9430.05,,-0.3,MASI
2014-05-09,9430.74,9458.41,9428.22,9455.1,,0.27,MASI
2014-05-12,9458.26,9460.72,9428.97,9457.71,,0.03,MASI
2014-05-13,9445.89,9486.53,9437.33,9486.53,,0.3,MASI
2014-05-14,9464.56,9473.61,9453.5,9471.86,,-0.15,MASI
2014-05-15,9473.1,9483.6,9460.33,9460.47,,-0.12,MASI
2014-05-16,9446.31,9467.72,9437.95,9449.3,,-0.12,MASI
2014-05-19,9452.05,9463.03,9419.17,9462.62,,0.14,MASI
2014-05-20,9452.51,9469.75,9440.89,9456.34,,-0.07,MASI
2014-05-21,9454.76,9464.34,9446.01,9462.5,,0.07,MASI
2014-05-22,9459.82,9459.82,9431.51,9433.16,,-0.31,MASI
2014-05-23,9437.44,9485.55,9433.19,9485.55,,0.56,MASI
2014-05-26,9366.49,9437.39,9330.82,9378.28,,-1.13,MASI
2014-05-27,9361.11,9382.71,9341.74,9382.71,,0.05,MASI
2014-05-28,9366.61,9419.86,9352.38,9410.74,,0.3,MASI
2014-05-29,9402.78,9461.45,9396.08,9459.57,,0.52,MASI
2014-05-30,9459.61,9494.79,9439.3,9494.79,,0.37,MASI
2014-06-02,9495.53,9511.6,9469.49,9469.49,,-0.27,MASI
2014-06-03,9467.41,9474.47,9424.82,9437.6,,-0.34,MASI
2014-06-04,9423.7,9437.82,9372.35,9424.51,,-0.14,MASI
2014-06-05,9404.3,9418.83,9357.0,9361.38,,-0.67,MASI
2014-06-06,9358.38,9367.52,9316.38,9338.38,,-0.25,MASI
2014-06-09,9328.17,9357.72,9324.35,9350.43,,0.13,MASI
2014-06-10,9346.6,9350.57,9311.37,9328.51,,-0.23,MASI
2014-06-11,9332.3,9365.49,9332.29,9349.43,,0.22,MASI
2014-06-12,9346.51,9415.06,9334.28,9415.06,,0.7,MASI
